City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Jamestown,100,US,2022-02-12 05:29:42,69,42.097,-79.2353,40.08,11.5
Sol'vychegodsk,100,RU,2022-02-12 05:29:42,97,61.3305,46.9156,16.32,4.29
Aswān,0,EG,2022-02-12 05:29:43,72,24.0934,32.907,51.12,11.03
Saskylakh,76,RU,2022-02-12 05:27:23,82,71.9167,114.0833,1.9,12.97
Lagoa,95,PT,2022-02-12 05:29:43,80,39.05,-27.9833,59.29,17.56
Castro,9,BR,2022-02-12 05:29:44,98,-24.7911,-50.0119,57.31,5.21
Punta Arenas,75,CL,2022-02-12 05:29:44,72,-53.15,-70.9167,57.31,34.52
Fairbanks,0,US,2022-02-12 05:28:05,77,64.8378,-147.7164,5.41,5.75
Ushuaia,40,AR,2022-02-12 05:25:45,58,-54.8,-68.3,53.26,48.34
Nālūt,42,LY,2022-02-12 05:29:45,53,30.3333,10.85,44.94,8.63
Ribeira Grande,83,PT,2022-02-12 05:29:46,78,38.5167,-28.7,59.99,14.03
Busselton,63,AU,2022-02-12 05:25:46,60,-33.65,115.3333,71.1,14.16
Karla,0,EE,2022-02-12 05:29:46,78,59.3723,24.9275,28.06,13.8
Kangaatsiaq,100,GL,2022-02-12 05:29:47,93,68.3065,-53.4641,8.89,5.77
Upernavik,100,GL,2022-02-12 05:29:47,84,72.7868,-56.1549,-8.63,15.77
Tiksi,89,RU,2022-02-12 05:29:48,92,71.6872,128.8694,-9.17,17.87
Lompoc,0,US,2022-02-12 05:29:48,60,34.6391,-120.4579,60.42,9.22
San Patricio,0,US,2022-02-12 05:29:49,90,28.017,-97.5169,62.83,8.32
Broken Hill,0,AU,2022-02-12 05:29:49,19,-31.95,141.4333,85.71,9.22
Thompson,75,CA,2022-02-12 05:29:50,69,55.7435,-97.8558,-20.04,4.61
San Jose,20,US,2022-02-12 05:29:24,62,37.3394,-121.895,65.34,3.0
Richards Bay,2,ZA,2022-02-12 05:29:50,81,-28.783,32.0377,73.63,6.26
Dikson,100,RU,2022-02-12 05:29:51,81,73.5069,80.5464,2.12,27.58
Albany,100,US,2022-02-12 05:29:51,60,42.6001,-73.9662,50.81,8.48
Vanavara,98,RU,2022-02-12 05:29:52,85,60.34,102.2797,-3.8,1.28
Nanortalik,100,GL,2022-02-12 05:29:52,78,60.1432,-45.2371,29.32,14.25
Mahébourg,40,MU,2022-02-12 05:29:53,78,-20.4081,57.7,84.25,4.61
Naze,95,JP,2022-02-12 05:29:53,76,28.3667,129.4833,58.12,8.63
Haines Junction,100,CA,2022-02-12 05:29:54,86,60.7522,-137.5108,17.55,1.14
Hilo,23,US,2022-02-12 05:28:17,91,19.7297,-155.09,70.11,1.99
Pryazha,91,RU,2022-02-12 05:29:54,96,61.6926,33.6216,22.23,7.4
Yellowknife,75,CA,2022-02-12 05:29:55,91,62.456,-114.3525,-14.58,4.61
Muravlenko,5,RU,2022-02-12 05:29:55,90,63.7898,74.523,-9.42,10.76
West Bay,8,KY,2022-02-12 05:29:56,90,19.3667,-81.4167,78.01,1.01
Najrān,0,SA,2022-02-12 05:29:56,47,17.4924,44.1277,61.45,3.71
Faanui,97,PF,2022-02-12 05:29:57,69,-16.4833,-151.75,82.0,14.12
Hermanus,24,ZA,2022-02-12 05:29:57,87,-34.4187,19.2345,68.81,8.57
Port Alfred,22,ZA,2022-02-12 05:29:58,85,-33.5906,26.891,73.45,5.14
Bengkulu,100,ID,2022-02-12 05:29:58,65,-3.8004,102.2655,82.69,5.55
Mar del Plata,100,AR,2022-02-12 05:26:54,73,-38.0023,-57.5575,63.09,23.0
Madaoua,0,NE,2022-02-12 05:29:59,17,14.073,5.96,58.15,10.18
Sfântu Gheorghe,97,RO,2022-02-12 05:29:59,98,45.8667,25.7833,37.92,7.92
Governador Valadares,100,BR,2022-02-12 05:29:41,99,-18.8511,-41.9494,70.3,3.11
Evensk,21,RU,2022-02-12 05:30:00,80,61.95,159.2333,-7.98,4.32
Saldanha,73,ZA,2022-02-12 05:30:01,87,-33.0117,17.9442,62.65,8.39
Bredasdorp,24,ZA,2022-02-12 05:30:02,88,-34.5322,20.0403,68.29,4.61
Tigre,100,AR,2022-02-12 05:30:03,87,-34.426,-58.5796,60.8,9.22
Caravelas,60,BR,2022-02-12 05:30:04,91,-17.7125,-39.2481,74.26,1.03
Saint-Philippe,53,RE,2022-02-12 05:30:05,68,-21.3585,55.7679,83.79,6.42
Drayton Valley,93,CA,2022-02-12 05:25:43,63,53.2168,-114.9854,27.91,5.99
Souillac,40,MU,2022-02-12 05:30:06,78,-20.5167,57.5167,84.36,4.61
Calatayud,60,ES,2022-02-12 05:30:07,85,41.3535,-1.6432,46.98,1.12
Guadalupe y Calvo,0,MX,2022-02-12 05:30:07,60,26.1,-106.9667,35.76,5.28
Soe,86,ID,2022-02-12 05:30:08,77,-9.8607,124.284,77.22,3.51
Iqaluit,75,CA,2022-02-12 05:29:49,70,63.7506,-68.5145,-15.07,3.44
Visnes,75,NO,2022-02-12 05:30:09,81,59.3556,5.2242,42.22,19.57
Hobart,20,AU,2022-02-12 05:30:09,44,-42.8794,147.3294,76.01,10.36
Butaritari,86,KI,2022-02-12 05:30:10,75,3.0707,172.7902,82.49,16.64
Houma,58,US,2022-02-12 05:28:17,87,29.5958,-90.7195,53.6,2.62
Port Blair,20,IN,2022-02-12 05:30:10,58,11.6667,92.75,84.24,9.22
Bluff,66,NZ,2022-02-12 05:30:11,57,-46.6,168.3333,57.79,15.66
New Norfolk,11,AU,2022-02-12 05:30:11,31,-42.7826,147.0587,75.65,1.99
Cape Town,0,ZA,2022-02-12 05:27:03,83,-33.9258,18.4232,67.1,6.91
Constitución,0,CL,2022-02-12 05:30:12,49,-35.3333,-72.4167,61.02,3.29
Nemuro,100,JP,2022-02-12 05:30:12,72,43.3236,145.575,27.03,2.51
Avarua,20,CK,2022-02-12 05:30:13,78,-21.2078,-159.775,80.65,2.3
Tuktoyaktuk,100,CA,2022-02-12 05:30:13,76,69.4541,-133.0374,-20.2,4.61
Ponta do Sol,7,PT,2022-02-12 05:30:14,71,32.6667,-17.1,64.06,6.22
San Cristobal,90,VE,2022-02-12 05:30:14,84,7.7669,-72.225,68.18,1.12
Bathsheba,20,BB,2022-02-12 05:30:15,65,13.2167,-59.5167,77.61,19.57
Severo-Kuril'sk,92,RU,2022-02-12 05:30:15,77,50.6789,156.125,26.42,8.93
Muros,23,ES,2022-02-12 05:30:16,86,42.7762,-9.0603,49.98,2.62
Karatsu,25,JP,2022-02-12 05:30:16,25,33.4425,129.9697,57.97,5.99
Coyhaique,68,CL,2022-02-12 05:26:55,76,-45.5752,-72.0662,50.61,0.0
Chui,64,UY,2022-02-12 05:30:17,91,-33.6971,-53.4616,69.75,4.29
Rikitea,4,PF,2022-02-12 05:30:17,74,-23.1203,-134.9692,79.09,17.63
Carnarvon,4,AU,2022-02-12 05:30:18,58,-24.8667,113.6333,91.47,18.41
Lorengau,93,PG,2022-02-12 05:30:18,78,-2.0226,147.2712,81.81,4.88
East London,20,ZA,2022-02-12 05:30:19,88,-33.0153,27.9116,76.14,4.61
Vila Velha,75,BR,2022-02-12 05:29:36,97,-20.3297,-40.2925,73.35,3.44
Bambous Virieux,40,MU,2022-02-12 05:30:19,78,-20.3428,57.7575,84.22,4.61
Lata,71,PT,2022-02-12 05:30:20,96,40.1629,-8.3327,50.92,0.4
Kita,9,ML,2022-02-12 05:30:20,18,13.0349,-9.4895,63.41,5.37
Ilulissat,100,GL,2022-02-12 05:30:20,59,69.2167,-51.1,28.42,12.66
Daşoguz,100,TM,2022-02-12 05:30:21,80,41.8363,59.9666,35.55,9.22
George Town,20,MY,2022-02-12 05:30:22,70,5.4112,100.3354,87.75,6.91
Parksville,85,CA,2022-02-12 05:30:22,67,49.3163,-124.3195,42.44,12.66
Alberton,100,CA,2022-02-12 05:30:23,80,46.8168,-64.0654,33.93,16.04
Merauke,55,ID,2022-02-12 05:30:23,66,-8.4667,140.3333,85.26,9.78
Palāsa,31,IN,2022-02-12 05:30:24,46,18.7667,84.4167,79.68,8.03
Teknāf,18,BD,2022-02-12 05:30:24,36,20.8624,92.3058,78.39,15.79
Mataura,83,NZ,2022-02-12 05:30:24,52,-46.1927,168.8643,57.47,8.14
Bethel,0,US,2022-02-12 05:30:25,60,41.3712,-73.414,51.03,6.91
Atuona,8,PF,2022-02-12 05:30:25,77,-9.8,-139.0333,77.54,13.49
Kapaa,100,US,2022-02-12 05:30:26,79,22.0752,-159.319,75.18,12.66
Natal,75,BR,2022-02-12 05:30:02,78,-5.795,-35.2094,79.45,6.91
Tasiilaq,91,GL,2022-02-12 05:30:26,60,65.6145,-37.6368,8.76,4.43
Pacific Grove,0,US,2022-02-12 05:30:27,74,36.6177,-121.9166,63.55,3.0
Mount Isa,40,AU,2022-02-12 05:30:27,22,-20.7333,139.5,100.17,6.91
Grand Gaube,54,MU,2022-02-12 05:30:28,70,-20.0064,57.6608,84.38,5.01
Salalah,40,OM,2022-02-12 05:30:28,60,17.0151,54.0924,75.29,4.61
Hervey Bay,32,AU,2022-02-12 05:30:29,67,-25.2986,152.8535,83.03,21.09
Ormara,0,PK,2022-02-12 05:30:29,51,25.2088,64.6357,71.78,8.72
Xinzhi,100,CN,2022-02-12 05:30:30,45,36.4989,111.7047,44.08,4.76
Saint Paul Harbor,40,US,2022-02-12 05:30:30,87,57.79,-152.4072,36.91,8.05
Ola,98,RU,2022-02-12 05:30:31,76,59.5833,151.2833,2.34,1.5
Kaputa,100,ZM,2022-02-12 05:30:31,89,-8.4689,29.6619,69.48,1.12
Ngunguru,94,NZ,2022-02-12 05:30:32,91,-35.6167,174.5,77.16,22.73
Ancud,77,CL,2022-02-12 05:30:32,82,-41.8697,-73.8203,53.42,5.44
Aklavik,9,CA,2022-02-12 05:30:33,98,68.2191,-135.0107,-24.77,9.4
Oussouye,3,SN,2022-02-12 05:30:33,19,12.485,-16.5469,71.69,9.8
Portland,20,US,2022-02-12 05:27:40,37,45.5234,-122.6762,55.98,13.0
Mthatha,100,ZA,2022-02-12 05:30:34,94,-31.5889,28.7844,68.56,4.61
Beipiao,100,CN,2022-02-12 05:30:35,66,41.7919,120.7792,21.11,9.19
Östersund,100,SE,2022-02-12 05:30:35,86,63.1792,14.6357,30.65,12.66
Valleyview,95,CA,2022-02-12 05:30:36,55,55.0667,-117.2859,30.24,4.61
Nikolskoye,38,RU,2022-02-12 05:30:36,93,59.7035,30.7861,23.81,7.11
Thinadhoo,36,MV,2022-02-12 05:30:36,71,0.5333,72.9333,81.45,6.4
Lavrentiya,8,RU,2022-02-12 05:30:37,92,65.5833,-171.0,-25.42,8.01
Rome,100,US,2022-02-12 05:30:37,86,43.2128,-75.4557,47.73,3.0
Susanville,0,US,2022-02-12 05:30:38,78,40.4163,-120.653,40.08,5.75
Departamento de Maldonado,92,UY,2022-02-12 05:30:38,94,-34.6667,-54.9167,68.23,9.84
Veshenskaya,100,RU,2022-02-12 05:30:39,89,49.6303,41.7334,32.47,1.57
Lodwar,29,KE,2022-02-12 05:30:39,32,3.1191,35.5973,87.62,17.38
Cairns,3,AU,2022-02-12 05:30:40,48,-16.9167,145.7667,94.28,13.8
Avera,0,US,2022-02-12 05:30:40,66,33.194,-82.5271,50.72,5.97
Ixtapa,0,MX,2022-02-12 05:30:40,88,20.7,-105.2,68.23,0.0
Provideniya,4,RU,2022-02-12 05:30:41,88,64.3833,-173.3,-15.39,8.99
Tessalit,13,ML,2022-02-12 05:30:41,19,20.1986,1.0114,60.58,9.62
Winton,0,US,2022-02-12 05:30:42,81,37.3894,-120.6133,58.98,3.44
Gambēla,55,ET,2022-02-12 05:30:42,31,8.25,34.5833,85.03,5.55
Cherskiy,100,RU,2022-02-12 05:30:43,100,68.75,161.3,-33.03,6.58
Cururupu,100,BR,2022-02-12 05:30:44,94,-1.8283,-44.8683,75.15,3.98
Bilibino,70,RU,2022-02-12 05:30:44,100,68.0546,166.4372,-34.28,1.74
Kirakira,100,SB,2022-02-12 05:30:45,80,-10.4544,161.9205,81.23,2.21
Barrow,0,US,2022-02-12 05:30:45,100,71.2906,-156.7887,-32.78,5.75
Saint-Joseph,58,RE,2022-02-12 05:30:46,68,-21.3667,55.6167,82.78,3.76
Airai,92,TL,2022-02-12 05:30:46,76,-8.9266,125.4092,71.04,1.72
Moose Factory,0,CA,2022-02-12 05:30:47,76,51.2585,-80.6094,-18.4,9.22
Klaksvík,100,FO,2022-02-12 05:30:47,89,62.2266,-6.589,41.92,21.23
São Filipe,92,CV,2022-02-12 05:30:48,44,14.8961,-24.4956,79.03,14.81
Khatanga,90,RU,2022-02-12 05:30:48,86,71.9667,102.5,0.48,11.81
Kahului,20,US,2022-02-12 05:30:49,78,20.8947,-156.47,74.84,5.75
Darhan,100,MN,2022-02-12 05:30:49,88,49.4867,105.9228,-4.52,2.37
Vaini,20,TO,2022-02-12 05:30:50,84,-21.2,-175.2,84.36,8.05
Neiafu,40,TO,2022-02-12 05:30:50,83,-18.65,-173.9833,83.08,6.91
Hithadhoo,96,MV,2022-02-12 05:30:51,70,-0.6,73.0833,81.32,6.51
Koslan,100,RU,2022-02-12 05:30:51,95,63.4564,48.8989,17.76,6.2
Norman Wells,20,CA,2022-02-12 05:30:52,76,65.282,-126.8329,-20.16,5.75
Talnakh,99,RU,2022-02-12 05:30:52,83,69.4865,88.3972,-8.75,9.04
Hong Kong,18,HK,2022-02-12 05:26:03,76,22.2855,114.1577,72.03,11.01
Teguise,0,ES,2022-02-12 05:30:53,67,29.0605,-13.564,57.42,5.75
Bojnourd,100,IR,2022-02-12 05:30:54,93,37.4747,57.329,37.35,0.0
Rio Tuba,87,PH,2022-02-12 05:30:54,74,8.5061,117.4317,82.72,9.91
Yerbogachën,100,RU,2022-02-12 05:30:55,89,61.2767,108.0108,-0.04,0.02
Monsummano Terme,74,IT,2022-02-12 05:30:55,68,43.8704,10.8123,50.79,5.99
Riyadh,74,SA,2022-02-12 05:29:58,35,24.6877,46.7219,57.34,16.4
Hergla,100,TN,2022-02-12 05:30:56,93,36.0303,10.509,55.26,5.75
Llanes,100,ES,2022-02-12 05:30:56,78,43.4198,-4.7549,42.85,2.33
Uspenka,100,UA,2022-02-12 05:30:57,98,48.3903,39.1619,35.31,0.98
Lebu,0,CL,2022-02-12 05:30:57,74,-37.6167,-73.65,56.41,13.6
Sur,0,OM,2022-02-12 05:30:58,42,22.5667,59.5289,73.42,4.36
Mount Gambier,3,AU,2022-02-12 05:30:58,19,-37.8333,140.7667,85.91,6.91
Şabyā,42,SA,2022-02-12 05:30:59,63,17.1495,42.6254,80.22,3.74
Ubari,0,LY,2022-02-12 05:30:59,39,26.5921,12.7805,46.22,6.89
Gigmoto,100,PH,2022-02-12 05:31:00,95,13.7796,124.39,75.52,13.82
Morondava,20,MG,2022-02-12 05:31:00,80,-20.2833,44.2833,82.2,3.98
Fort Frances,0,CA,2022-02-12 05:31:01,76,48.5999,-93.4003,-14.58,6.91
Chokurdakh,100,RU,2022-02-12 05:31:01,95,70.6333,147.9167,-2.79,13.44
Saint George,0,US,2022-02-12 05:28:12,26,37.1041,-113.5841,61.39,18.41
Krasnyy Profintern,82,RU,2022-02-12 05:31:02,96,57.7446,40.435,30.22,8.12
Sakakah,0,SA,2022-02-12 05:31:02,55,29.9697,40.2064,44.17,8.46
Qaanaaq,0,GL,2022-02-12 05:31:03,48,77.484,-69.3632,-23.22,7.58
Hirara,75,JP,2022-02-12 05:31:03,88,24.8,125.2833,70.07,8.05
Umm Kaddadah,9,SD,2022-02-12 05:31:04,22,13.6017,26.6876,56.46,15.88
Ýpsonas,0,CY,2022-02-12 05:31:04,75,34.6884,32.9574,53.28,1.14
Iseyin,33,NG,2022-02-12 05:31:05,86,7.9667,3.6,71.47,3.44
Nador,75,MA,2022-02-12 05:31:05,93,35.174,-2.9287,50.07,4.61
Puerto Ayora,91,EC,2022-02-12 05:31:06,99,-0.7393,-90.3518,71.55,4.0
Lüderitz,29,NA,2022-02-12 05:31:06,62,-26.6481,15.1594,77.76,3.44
Port-Gentil,40,GA,2022-02-12 05:31:07,94,-0.7193,8.7815,78.76,3.44
Codrington,3,AU,2022-02-12 05:31:07,58,-38.2667,141.9667,72.18,19.08
Sebrovo,98,RU,2022-02-12 05:31:08,90,50.0981,43.2976,33.82,3.53
Leningradskiy,95,RU,2022-02-12 05:31:08,98,69.3833,178.4167,-20.72,5.06
Krasnovishersk,100,RU,2022-02-12 05:31:09,94,60.4078,57.082,10.49,5.17
Hobbs,0,US,2022-02-12 05:31:09,56,32.7026,-103.136,48.02,14.97
Vila,29,PT,2022-02-12 05:31:10,92,42.0304,-8.1588,40.33,1.86
Pitimbu,33,BR,2022-02-12 05:31:10,82,-7.4706,-34.8086,79.39,6.96
Ozernovskiy,90,RU,2022-02-12 05:31:11,80,51.5,156.5167,24.94,6.06
Dunedin,100,NZ,2022-02-12 05:31:11,73,-45.8742,170.5036,55.8,4.0
Ust-Nera,57,RU,2022-02-12 05:31:12,99,64.5667,143.2,-26.18,3.0
Clyde River,40,CA,2022-02-12 05:31:12,76,70.4692,-68.5914,-18.17,28.77
Tocopilla,1,CL,2022-02-12 05:31:13,71,-22.092,-70.1979,68.5,3.62
Luga,99,RU,2022-02-12 05:31:13,95,58.7372,29.8453,19.24,7.34
Pincher Creek,0,CA,2022-02-12 05:31:14,49,49.4833,-113.952,37.56,9.22
Kombissiri,8,BF,2022-02-12 05:31:14,13,12.0656,-1.3375,71.58,8.16
Nadvoitsy,57,RU,2022-02-12 05:31:15,95,63.8667,34.3167,11.16,6.67
São João del Rei,93,BR,2022-02-12 05:31:15,98,-21.1356,-44.2617,61.56,3.15
Kaeo,95,NZ,2022-02-12 05:31:16,95,-35.1,173.7833,77.32,19.62
Asău,100,RO,2022-02-12 05:31:16,90,46.4333,26.4,36.75,2.8
Cockburn Town,2,TC,2022-02-12 05:31:16,84,21.4612,-71.1419,77.49,23.71
Asheville,0,US,2022-02-12 05:31:17,63,35.6009,-82.554,47.62,0.0
Purpe,2,RU,2022-02-12 05:31:17,86,64.4803,76.6897,-6.43,12.21
Owasso,20,US,2022-02-12 05:31:18,56,36.2695,-95.8547,48.24,17.27
Ahipara,89,NZ,2022-02-12 05:31:18,90,-35.1667,173.1667,76.39,23.31
Sinnamary,79,GF,2022-02-12 05:27:01,89,5.3833,-52.95,75.79,9.13
Skogn,100,NO,2022-02-12 05:31:19,88,63.7,11.2,34.99,8.77
Tres Picos,23,MX,2022-02-12 05:31:20,67,15.8667,-93.5333,73.98,3.15
Molina,0,CL,2022-02-12 05:31:03,48,-35.1167,-71.2833,62.33,3.44
Tautira,81,PF,2022-02-12 05:31:21,73,-17.7333,-149.15,78.82,12.55
Daru,100,PG,2022-02-12 05:31:21,68,-9.0763,143.2092,82.76,5.79
San Quintín,0,MX,2022-02-12 05:31:22,51,30.4833,-115.95,62.19,1.32
Tommot,100,RU,2022-02-12 05:31:22,87,58.9564,126.2925,-4.83,2.28
Srednekolymsk,18,RU,2022-02-12 05:31:23,96,67.45,153.6833,-29.85,6.53
Amet,4,IN,2022-02-12 05:31:23,22,25.3,73.9333,69.67,5.46
Ialibu,94,PG,2022-02-12 05:31:23,62,-6.2821,143.9935,66.83,5.06
Manta,75,EC,2022-02-12 05:31:24,83,-0.95,-80.7333,76.78,5.75
Marang,100,MY,2022-02-12 05:31:24,69,5.2056,103.2059,82.31,7.4
Matara,100,LK,2022-02-12 05:31:25,59,5.9485,80.5353,87.55,7.05
San Rafael,100,AR,2022-02-12 05:31:13,68,-34.6177,-68.3301,61.23,10.56
Erzin,0,TR,2022-02-12 05:31:26,64,36.9559,36.2,34.52,1.23
Cabo San Lucas,0,MX,2022-02-12 05:26:29,72,22.8909,-109.9124,67.51,4.63
Colares,71,PT,2022-02-12 05:31:26,77,38.7992,-9.4469,57.33,15.01
Liverpool,75,GB,2022-02-12 05:31:27,77,53.4106,-2.9779,45.82,16.11
Tura,0,IN,2022-02-12 05:31:27,33,25.5198,90.2201,71.44,4.43
Touros,92,BR,2022-02-12 05:31:28,83,-5.1989,-35.4608,79.7,7.34
Manadhoo,100,MV,2022-02-12 05:31:28,77,5.7667,73.3833,81.82,17.02
Alamogordo,0,US,2022-02-12 05:29:19,47,32.8995,-105.9603,50.05,11.5
Isangel,40,VU,2022-02-12 05:31:29,74,-19.55,169.2667,87.91,6.91
Durban,39,ZA,2022-02-12 05:31:29,86,-29.8579,31.0292,80.02,1.99
Hanchuan,100,CN,2022-02-12 05:31:30,78,30.65,113.7667,44.71,5.84
Pevek,96,RU,2022-02-12 05:31:30,100,69.7008,170.3133,-30.77,6.42
Binzhou,99,CN,2022-02-12 05:31:31,37,37.3667,118.0167,50.85,4.0
Torbay,20,CA,2022-02-12 05:31:31,91,47.6666,-52.7314,33.58,14.97
Mari-Turek,88,RU,2022-02-12 05:31:32,97,56.7895,49.6235,18.73,6.64
Kununurra,7,AU,2022-02-12 05:31:32,52,-15.7667,128.7333,93.18,5.75
Hasaki,94,JP,2022-02-12 05:31:33,47,35.7333,140.8333,48.6,6.24
North Bend,0,US,2022-02-12 05:31:33,81,43.4065,-124.2243,54.91,3.44
Berlevåg,100,NO,2022-02-12 05:31:34,63,70.8578,29.0864,27.34,13.87
Madīnat Sittah Uktūbar,0,EG,2022-02-12 05:31:34,73,29.8167,31.05,50.09,13.13
Kokuy,96,RU,2022-02-12 05:31:34,87,52.2037,117.5529,-2.9,2.95
Pedernales,0,DO,2022-02-12 05:31:35,65,18.0384,-71.744,76.05,5.99
Port Augusta,0,AU,2022-02-12 05:31:35,16,-32.5,137.7667,95.7,9.46
Nizhniy Kuranakh,100,RU,2022-02-12 05:31:36,90,58.8353,125.4869,-6.95,5.08
Taoudenni,5,ML,2022-02-12 05:31:36,29,22.6783,-3.9836,56.84,10.38
Atambua,87,ID,2022-02-12 05:31:37,74,-9.1061,124.8925,81.99,1.9
Pokhara,0,NP,2022-02-12 05:31:37,42,28.2333,83.9833,63.19,6.44
Pangnirtung,100,CA,2022-02-12 05:31:38,94,66.1451,-65.7125,3.13,2.59
Manggar,81,ID,2022-02-12 05:31:38,65,-2.8833,108.2667,85.51,9.69
Boende,100,CD,2022-02-12 05:31:38,64,-0.2167,20.8667,79.16,1.57
Cidreira,1,BR,2022-02-12 05:31:39,84,-30.1811,-50.2056,73.62,17.9
Tuatapere,82,NZ,2022-02-12 05:31:39,58,-46.1333,167.6833,57.81,11.39
Lātehār,1,IN,2022-02-12 05:31:40,20,23.75,84.5,71.82,9.22
Buenos Aires,0,AR,2022-02-12 05:30:52,88,-34.6132,-58.3772,60.53,9.22
Fort Nelson,100,CA,2022-02-12 05:31:41,79,58.8053,-122.7002,9.99,2.3
Lar,0,IN,2022-02-12 05:31:41,47,26.2039,83.9717,67.55,6.6
Petrokamenskoye,100,RU,2022-02-12 05:31:41,92,57.716,60.6484,11.25,3.85
Cumpas,0,MX,2022-02-12 05:31:42,25,29.9833,-109.7833,57.0,1.57
Dickinson,0,US,2022-02-12 05:31:42,91,29.4608,-95.0513,59.95,4.61
Molodizhne,100,UA,2022-02-12 05:31:43,92,48.1773,32.6601,39.07,13.27
Mogadishu,0,SO,2022-02-12 05:30:37,73,2.0371,45.3438,78.67,16.11
Plácido de Castro,55,BR,2022-02-12 05:31:44,98,-10.3353,-67.1856,72.57,2.84
Yar-Sale,100,RU,2022-02-12 05:31:44,82,66.8333,70.8333,-2.58,15.82
Paka,40,MY,2022-02-12 05:31:45,89,4.6374,103.4368,78.73,4.61
Yeniseysk,8,RU,2022-02-12 05:31:45,80,58.4497,92.1703,4.32,7.05
Aykhal,60,RU,2022-02-12 05:31:45,93,66.0,111.5,-1.59,4.61
Sargatskoye,46,RU,2022-02-12 05:31:46,93,55.6101,73.4972,-2.49,13.49
Tacuarembó,90,UY,2022-02-12 05:31:46,87,-31.7333,-55.9833,69.75,10.22
Vanimo,100,PG,2022-02-12 05:31:47,86,-2.6741,141.3028,79.29,4.61
Petropavlovsk-Kamchatskiy,0,RU,2022-02-12 05:31:47,45,53.0452,158.6483,19.99,2.24
Palu,100,ID,2022-02-12 05:31:48,97,-0.8917,119.8707,76.41,2.06
Malinyi,100,TZ,2022-02-12 05:31:48,98,-8.9333,36.1333,71.71,1.54
Skibbereen,100,IE,2022-02-12 05:31:49,95,51.55,-9.2667,48.0,26.42
Labuhan,100,ID,2022-02-12 05:31:49,80,-6.8844,112.2051,80.89,10.09
